id,name,description,status,reasons,countries,categories,website,logo_url,alternatives,alternatives_text,allOf
8fig,8fig,"8fig is an Israeli tech company[^1]
Don't buy 8fig products/services
Don't sell 8fig products/services
Don't work for 8fig
[^1]: https://buyisraelitech.com/database/8fig",avoid,operations_in_israel,global,"technology, commerce",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/3ddd5fbb-0020-43be-a1a3-e3353717d712/8fig-logo_cyan-green_RGB_cropped-300x191-1/w=450,,,
adidas,Adidas,"Adidas uses israeli manufacturer, Delta Galil, to manufacture its underwear range.[^1]
Don't buy Adidas products.
Don't sell Adidas products.
Don't work for Adidas.
[^1]: https://adidasunderwear.com/pages/adidas-underwear-partnership/",avoid,operations_in_israel,global,clothing,,https://adidasunderwear.com/cdn/shop/files/Sportswear_Logo_BWp_180x.png,,Unbranded sportswear,
aero,Aero,"The owner of the Aero brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.[^1]
Don't buy Aero products
Avoid Nestle products until they divest all operations in Occupied Palestine.
Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.
[^1]: https://en.wikipedia.org/wiki/Osem_(company)",avoid,operations_in_israel,global,food,,https://pbs.twimg.com/profile_images/1572133079124156417/5HRdFO3L_400x400.jpg,,"Supermarket own brand alternatives, eg. Morrisons",
affogata,Affogata,"Affogata is an Israeli tech company[^1]
Don't buy Affogata products/services
Don't sell Affogata products/services
Don't work for Affogata
[^1]: https://buyisraelitech.com/database/affogata",avoid,operations_in_israel,global,"technology, marketing",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/6561612e-d08d-4002-ab63-abf6d65030ef/Affogata-logo-NEW/w=450,,,
agoda,Agoda,"Booking.com, whos parent company Booking Holdings owns Agoda, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.[^1]
Don't book on Agoda.
Book directly with businesses. They usually offer discounts and similar terms for direct bookings.
Don't list your services on Agoda.
Don't work for Booking Holdings
[^1]: https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy",avoid,operations_in_israel,global,"technology, travel",,https://logowik.com/content/uploads/images/agoda7659.jpg,,halalbooking.com,
ai21labs,AI21 Labs,"AI21 Labs is an Israeli tech company[^1]
Don't buy AI21 Labs products/services
Don't sell AI21 Labs products/services
Don't work for AI21 Labs
[^1]: https://buyisraelitech.com/database/ai21-labs",avoid,operations_in_israel,global,"technology, development",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/ec970611-9586-49ea-b4a6-97188a5fea4c/64f05d8a45e1c6882bfa0ca3_Announcement/w=450,,,
aidoc,Aidoc,"Aidoc is an Israeli tech company[^1]
Don't buy Aidoc products/services
Don't sell Aidoc products/services
Don't work for Aidoc
[^1]: https://buyisraelitech.com/database/aidoc",avoid,operations_in_israel,global,"technology, healthcare",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/3608ad95-6489-41f8-9eb2-47754fcdda57/aidoc/w=450,,,
airbnb,Airbnb,"Airbnb allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.[^1]
Don't rent property on Airbnb.
Don't list property on Airbnb.
Delete the Airbnb app.
Don't work for Airbnb.
[^1]: https://www.amnesty.org/en/latest/press-release/2020/12/airbnb-listing-company-is-deeply-compromised-by-israeli-settlement-properties/",avoid,operations_in_settlements,global,"technology, travel",,https://s.yimg.com/uu/api/res/1.2/Bz8iDlw16Zf6PVc.y33xdg--~B/aD0zOTA7dz02MTA7YXBwaWQ9eXRhY2h5b24-/http://globalfinance.zenfs.com/Finance/US_AHTTP_ENTREPRENEUR_H_NEW_LIVE/1405612741-airbnb-why-new-logo_original.jpg,,halalbooking.com,
airwaves,Airwaves,"The owner of Airwaves, Mars, supports the zionist state by investing heavily in the foodtech startup scene through venture capital partner JVC.[^1]
Don't buy Airwaves products.
Don't sell Airwaves products.
Don't work for Mars.
[^1]: https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners",avoid,operations_in_israel,global,food,,https://aus.mars.com/sites/g/files/jydpyr531/files/styles/brands_grid/public/2019-07/airwaves%20%282%29.png,,"Supermarket own brand options.
Eat whole foods instead of confectionary.",
